country,date,Fiscal Balance,GDP per capita,GDP,Unemployment Rate,Inflation,Population,CPI,bot,inflation,interest,liquidity,debt
Bosnia and Herzegovina,2021,,5862.45830047874,,35.3320007324219,1.98163900587616,,,"-2,777.97",105.85,3.20,"9,300.31",35.43
Belarus,2018,,6165.90933024502,6165.90933024502,10.66100025177,4.87230220550689,9438785,,929.1,,,,
Belarus,2018,,6165.90933024502,6165.90933024502,10.66100025177,4.87230220550689,9438785,,,481.39,8.70,"5,222.91",
Belarus,2018,,6165.90933024502,6165.90933024502,10.66100025177,4.87230220550689,9438785,,,,,,42.51
Belarus,2019,,6264.86096486176,6264.86096486176,10.2119998931885,5.59815595039851,9419758,,-403,508.34,9.02,"7,006.67",
Belarus,2019,,6264.86096486176,6264.86096486176,10.2119998931885,5.59815595039851,9419758,,,,,,37.6
Belarus,2020,,6247.43190947199,6247.43190947199,12.0310001373291,5.54814357456511,9379952,,"1,947.60",536.54,9.03,"4,426.89",
Belarus,2020,,6247.43190947199,6247.43190947199,12.0310001373291,5.54814357456511,9379952,,,,,,44.12
Belarus,2021,,6418.23763437028,6418.23763437028,10.4469995498657,9.46028389623105,9340314,,"3,970.55",587.3,10.12,"5,301.81",
Belarus,2021,,6418.23763437028,6418.23763437028,10.4469995498657,9.46028389623105,9340314,,,,,,38.77
Belize,2018,,6059.16255306675,2315000000.0,18.0550003051758,0.269982622646432,2.345,,-83.79,,,,
Belize,2018,,6059.16255306675,2315000000.0,18.0550003051758,0.269982622646432,2.345,,,105.96,9.12,294.47,79.52
Belize,2019,,6210.56554311929,2416500000.0,20.423999786377,0.187069385181357,2.106,,-100.72,106.16,9.07,277.58,79.01
Belize,2020,,5266.87616004213,2080000000.0,24.0,0.12143464461496,1.999,,-187.2,106.29,8.73,348.09,104.49
Belize,2021,,6228.26730928353,2491500000.0,22.738000869751,3.23563659237067,,,-208.07,109.73,8.44,420.10,82.21
"Bolivia, Plurinational State of",2018,,3219.20088567555,3219.20088567555,6.75299978256226,2.27205987230148,.,2.27205987230148,,,,,
"Bolivia, Plurinational State of",2019,,3242.94884340563,3242.94884340563,6.97599983215332,1.83954504969032,.,1.83954504969032,,,,,
"Bolivia, Plurinational State of",2020,,2920.19744316688,2920.19744316688,15.3760004043579,0.940742153381823,93.8525619506836,0.940742153381823,,,,,
"Bolivia, Plurinational State of",2021,,3061.7386096362,3061.7386096362,8.45100021362305,0.737383721452315,,0.737383721452315,,,,,
Brazil,2018,-7.030,8553.87618653936,296384.9,,3.66485028376724,210166592,114.398693152916,"4,045.10",,,,
Brazil,2018,-7.030,8553.87618653936,296384.9,,3.66485028376724,210166592,114.398693152916,,161.37,39.08,"371,933.90",80.36
Brazil,2019,-5.880,8592.22153753537,299482.2,,3.73297621216894,211782878,118.718991334926,"-11,934.21",167.4,37.48,"353,587.90",82.68
Brazil,2020,-13.332,8204.20272600881,295396.1,,3.21176803803379,213196304,123.695419867548,"7,712.51",172.77,29.04,"351,518.55",92.67
Brazil,2021,-4.417,8537.93922013226,302822.6,,8.30165975585676,214326223,129.334939115179,"9,406.38",187.12,30.02,"354,623.06",87.75
Barbados,2018,,17220.9310014747,-3.96,24.0459995269775,3.67381410406798,279688,,...,,,,
Barbados,2018,,17220.9310014747,-3.96,24.0459995269775,3.67381410406798,279688,,,128.81,8.05,533.91,127.28
Barbados,2019,,17168.1456868491,-3.05,25.5160007476807,4.10028964518463,280180,,...,134.09,8.05,772.12,119.61
Brunei Darussalam,2018,,31241.4539554095,27343.3828125,31.4529991149902,1.02505179290213,97.214111328125,,"1,359.24",,,,
Brunei Darussalam,2018,,31241.4539554095,27343.3828125,31.4529991149902,1.02505179290213,97.214111328125,,,99.42,5.50,"3,220.62",2.59
