,country,ISO,region,north_south,year,population,GDP,inflation,unemployment,GDP Per Capita
180,Congo (Brazzaville),COG,Africa,Global South,2021,5835806,13366230219.5352,1.71564275451263,,2290.3828913324396
181,Congo (Brazzaville),COG,Africa,Global South,2020,5702174,10483151175.8451,1.79537147083111,,1838.448138524903
182,Congo (Brazzaville),COG,Africa,Global South,2019,5570733,12750339022.9915,2.20607305781519,,2288.8081376349396
183,Congo (Brazzaville),COG,Africa,Global South,2018,5441062,13670036996.0023,1.15277896375521,,2512.3839787163424
184,"Congo, (Kinshasa)",COD,Africa,Global South,2021,95894118,55350968593.0597,,,577.209215199828
185,"Congo, (Kinshasa)",COD,Africa,Global South,2020,92853164,48716960860.0664,,1.47000002861023,524.666675441091
186,"Congo, (Kinshasa)",COD,Africa,Global South,2019,89906890,51775830725.8441,,,575.8827908055111
187,"Congo, (Kinshasa)",COD,Africa,Global South,2018,87087355,47568210068.5136,,,546.2125938778781
188,Costa Rica,CRI,South/Latin America,Global South,2021,5153957,64282438666.739,1.72647755109235,15.1400003433228,12472.443729495415
189,Costa Rica,CRI,South/Latin America,Global South,2020,5123105,62158002233.0279,0.724911478131358,16.4300003051758,12132.87688482432
190,Costa Rica,CRI,South/Latin America,Global South,2019,5084532,64417670082.6127,2.09604635327805,10.8100004196167,12669.341068679025
191,Costa Rica,CRI,South/Latin America,Global South,2018,5040734,62420165099.7231,2.22111461526584,9.01000022888184,12383.149973738566
192,Côte d'Ivoire,CIV,Africa,Global South,2021,27478249,70043191477.0454,4.09195189692858,,2549.041297247339
193,Côte d'Ivoire,CIV,Africa,Global South,2020,26811790,61348579465.1017,2.42500656821829,,2288.119497620327
194,Côte d'Ivoire,CIV,Africa,Global South,2019,26147551,58539424929.7248,-1.10686343994202,2.40000009536743,2238.811004890087
195,Côte d'Ivoire,CIV,Africa,Global South,2018,25493988,58011466450.8643,0.359409031380664,,2275.495950294803
196,Croatia,HRV,Europe,Global North,2021,3899000,68955083280.1922,2.55450699642046,7.6100001335144,17685.325283455295
197,Croatia,HRV,Europe,Global North,2020,4047680,57472012426.6853,0.154811374562028,7.51000022888184,14198.75395947439
198,Croatia,HRV,Europe,Global North,2019,4065253,62327983579.5899,0.771820346498083,6.61999988555908,15331.883053672156
199,Croatia,HRV,Europe,Global North,2018,4087843,62316840749.9705,1.50012501041753,8.43000030517578,15244.431048347624
200,Cuba,CUB,South/Latin America,Global South,2021,11256372,,,,
201,Cuba,CUB,South/Latin America,Global South,2020,11300698,107352000000.0,,,9499.590202304318
202,Cuba,CUB,South/Latin America,Global South,2019,11316697,103428000000.0,,,9139.415856057647
203,Cuba,CUB,South/Latin America,Global South,2018,11328244,100050000000.0,,1.70000004768372,8831.907222337371
204,Cyprus,CYP,Europe,Global North,2021,1244188,28407867534.0035,2.44608867175472,7.51000022888184,22832.455813754434
205,Cyprus,CYP,Europe,Global North,2020,1237537,25008448886.3507,-0.638422797978907,7.76000022888184,20208.243378865198
206,Cyprus,CYP,Europe,Global North,2019,1228836,25944504645.6957,0.250370996758456,7.15000009536743,21113.07338464669
207,Cyprus,CYP,Europe,Global North,2018,1218831,25596474964.5725,1.43549119531762,8.5,21000.840120223802
208,Czech Republic,CZE,Europe,Global North,2021,10505772,281777887121.451,3.8398449150015,2.79999995231628,26821.245227999523
209,Czech Republic,CZE,Europe,Global North,2020,10697858,245974558654.043,3.16129528497808,2.54999995231628,22992.879383334777
210,Czech Republic,CZE,Europe,Global North,2019,10671870,252548179964.897,2.84787595918047,2.01999998092651,23664.84786311087
211,Czech Republic,CZE,Europe,Global North,2018,10629928,249000540729.179,2.14949494949492,2.25,23424.480460185525
212,Denmark,DNK,Europe,Global North,2021,5856733,398303272764.46,1.85304543989687,5.05999994277954,68007.7566732955
213,Denmark,DNK,Europe,Global North,2020,5831404,355222449505.211,0.420711974110026,5.6399998664856,60915.424399546144
214,Denmark,DNK,Europe,Global North,2019,5814422,346498737961.635,0.758131572511619,5.01999998092651,59592.98068864541
215,Denmark,DNK,Europe,Global North,2018,5793636,356841216410.068,0.813609467455633,5.13000011444092,61591.92886989586
216,Djibouti,DJI,Arab States,Global South,2021,1105557,3482987379.0942,,,3150.4367292633488
217,Djibouti,DJI,Arab States,Global South,2020,1090156,3181071153.6622,1.77740783806174,,2917.9962809563035
